,A,B,C,D,Return,Beta,Risk,SharpeRatio,TreynorRatio,InformationRatio,DownRisk,SortioRatio,Efficient
2040,WIPRO,LT,SUNPHARMA,ITC,0.1595191074845892,0.9428208008067692,0.009313067250968367,9.71958056838654,0.0960088146200553,1.6930220472580464,0.005794724306720137,15.620951523028326,17.128525241563406
2041,WIPRO,LT,SUNPHARMA,VIDEOIND,-0.5052873542606545,0.7711467180725411,0.0159307101841264,-36.04907424860966,-0.7447186648165595,-40.741387299134345,0.009151930765055435,-62.750404150066366,-31.71781724860769
2042,WIPRO,LT,SUNPHARMA,HINDZINC,0.10288181447270889,1.0766727081669276,0.011320020898246309,2.9930876256560475,0.0314690009468094,-3.6104230898306504,0.006364334547113857,5.323701043980136,9.088482733158848
2043,WIPRO,LT,SUNPHARMA,TCS,0.03513137752178368,0.4361033396425801,0.020614819265055914,-1.6429259962335385,-0.0776619195486424,-5.269049433940045,0.006099393981382386,-5.552784847412044,1.704180719223414
2044,WIPRO,LT,ITC,ICICIBANK,0.12027757919897578,1.181348340819127,0.01078983001306029,4.752399170043278,0.04340597724412155,-2.175594988402337,0.007153621023166425,7.168059229433243,11.147309925493607
2045,WIPRO,LT,ITC,EICHERMOT,0.039778940513927566,0.8694024931188716,0.00891247215583473,-3.278670494015769,-0.033610508041270484,-11.666004332940027,0.005263919015849181,-5.55119852681823,4.463289177053471
2046,WIPRO,LT,ITC,HDFC,0.10879789761345453,0.992377264560506,0.008438822994378776,4.716048392052362,0.040103596721434175,-4.142044656100939,0.005066394847312826,7.855269637060167,12.892544100750355
2047,WIPRO,LT,ITC,SUNPHARMA,0.17124848037007726,0.9593054487696572,0.010247826229974472,9.977577495508719,0.10658594767830674,2.683164258635452,0.006396101920981481,15.986061765943099,16.7107127430774
2048,WIPRO,LT,ITC,VIDEOIND,-0.5404754729171186,0.7216927741838771,0.015099599848637011,-40.36368374173398,-0.8445082100293176,-45.314270515584845,0.008242302407938336,-73.94480847124947,-35.79402622155616
2049,WIPRO,LT,ITC,HINDZINC,0.06769369581624476,1.0272187642782635,0.009567009178046933,-0.13654258707650976,-0.001271690344045717,-7.950048136191406,0.0056082100673987955,-0.23292711365234797,7.075742748483927
2050,WIPRO,LT,ITC,TCS,-5.674113468044639e-05,0.3866493957539161,0.019481106685436223,-3.544805859838867,-0.1786029976848374,-7.381953333446524,0.004952622036664645,-13.943470877334883,-0.002912623784503228
2051,WIPRO,LT,VIDEOIND,ICICIBANK,-0.37832726710995707,1.052592778768456,0.014657364492662169,-30.518942701731948,-0.4249765684630047,-35.61889633517849,0.008227510944925173,-54.36969578094258,-25.81141154669087
2052,WIPRO,LT,VIDEOIND,EICHERMOT,-0.45882590579500526,0.7406469310682006,0.013373364056853541,-39.468446648957155,-0.7126552256602839,-45.05805588888466,0.007294887105058399,-72.35559621327131,-34.30893706657657
